Signal,Image,Car,Motorcycle,Bus,Truck
Redlight 1,1.jpg,8,8,5,1
Redlight 2,1.jpg,1,0,0,0
Redlight 3,1.jpg,10,0,1,2
Redlight 4,1.jpg,1,0,0,0
Redlight 1,2.jpg,0,0,0,1
Redlight 2,2.jpg,12,0,2,4
Redlight 3,2.jpg,0,0,0,1
Redlight 4,2.jpg,0,0,0,3
Redlight 1,3.jpg,1,0,0,0
Redlight 2,3.jpg,0,0,0,1
Redlight 3,3.jpg,5,0,0,3
Redlight 4,3.jpg,10,0,2,2
Redlight 1,4.jpg,1,0,0,1
Redlight 2,4.jpg,0,0,0,3
Redlight 3,4.jpg,10,0,1,2
Redlight 4,4.jpg,1,0,1,1
Redlight 1,5.jpg,10,0,1,2
Redlight 2,5.jpg,1,0,1,1
Redlight 3,5.jpg,2,0,0,1
Redlight 4,5.jpg,0,0,0,1
